row_num,fundo_u_origen,obs_raw_flat,rx_diio,rx_rut,rx_pesos_kg,rx_pesos_pv,rx_guia,rx_precio_dollar,rx_precio_texto,rx_precio_kg,rx_precio_unitario,rx_cantidad_animal,rx_fecha_dd_mm_yyyy,rx_fecha_texto,rx_patente_auto,rx_camion_prefix,rx_carro_prefix,rx_kw_compra,rx_kw_venta,rx_kw_traslado,rx_kw_tratamiento,rx_nombre_propio,rx_url,rx_porcentaje,obs_lines_joined
758,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
759,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
760,San Pedro,pisado vacas,,,,,,,,,,,,,,,,,,,,,,,pisado vacas
761,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
762,San Pedro,hipotermia,,,,,,,,,,,,,,,,,,,,,,,hipotermia
763,San Pedro,pisado vacas,,,,,,,,,,,,,,,,,,,,,,,pisado vacas
764,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
765,San Pedro,hipotermia,,,,,,,,,,,,,,,,,,,,,,,hipotermia
766,San Pedro,enterrada en el barro,,,,,,,,,,,,,,,,,,,,,,,enterrada en el barro
767,San Pedro,hipotermia,,,,,,,,,,,,,,,,,,,,,,,hipotermia
768,San Pedro,temporal,,,,,,,,,,,,,,,,,,,,,,,temporal
769,Arriendo las quebradas,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
770,Arriendo las quebradas,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
771,Arriendo Santa Isabel,coccidiosis ( no responde a tratamiento),,,,,,,,,,,,,,,,,,,tratamiento,,,,coccidiosis ( no responde a tratamiento)
772,feedlot,Cólico (pansaso),,,,,,,,,,,,,,,,,,,,,,,Cólico (pansaso)
773,San Pedro,Flaca PTBc,,,,,,,,,,,,,,,,,,,,,,,Flaca PTBc
774,San Pedro,neumonia cronica,,,,,,,,,,,,,,,,,,,,,,,neumonia cronica
775,Arriendo las quebradas,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
776,San Pedro,perros,,,,,,,,,,,,,,,,,,,,,,,perros
777,San Pedro,paralisis ruminal,,,,,,,,,,,,,,,,,,,,,,,paralisis ruminal
778,Arriendo Santa Isabel,paralisis ruminal,,,,,,,,,,,,,,,,,,,,,,,paralisis ruminal
779,San Pedro,naylon y pelotas de pelo,,,,,,,,,,,,,,,,,,,,,,,naylon y pelotas de pelo
780,feedlot,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
781,San Pedro,perros,,,,,,,,,,,,,,,,,,,,,,,perros
782,San Pedro,neumonia cronica,,,,,,,,,,,,,,,,,,,,,,,neumonia cronica
783,San Pedro,baja inventario,,,,,,,,,,,,,,,,,,,,,,,baja inventario
784,Arriendo las quebradas,neumonía cronica,,,,,,,,,,,,,,,,,,,,,,,neumonía cronica
785,San Pedro,venta,,,,,,,,,,,,,,,,,venta,,,,,,venta
786,feedlot,accidente comedero,,,,,,,,,,,,,,,,,,,,,,,accidente comedero
787,Arriendo las quebradas,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
788,San Pedro,neumonia cronica,,,,,,,,,,,,,,,,,,,,,,,neumonia cronica
