ID,Fundo,N° Guía,Animales,Tipo ganado,Peso (kg),Animales pesados,Observaciones,Estado,Fecha venta,Creado por,Fecha creado
4325,feedlot,2309,40,"Vaca: 27
Vaquilla: 13",16546,40,venta Ferias Araucanias ,Completo,"""2023-04-27T00:00:00.000Z""",guentrepan,"""2023-04-27T00:00:00.000Z"""
4321,feedlot,2308,41,"Novillo: 4
Vaca: 18
Vaquilla: 19",17584,41,venta feria tatersall Freire.,Completo,"""2023-04-26T00:00:00.000Z""",guentrepan,"""2023-04-26T00:00:00.000Z"""
4304,feedlot,2308,46,"Novillo: 5
Ternero: 1
Vaca: 24
Vaquilla: 16",20772,46,"5 novillos americanos
10 vacas flacas ganancias bajas
15 vaquillas gordas 
1 ternero
15 vacas gordas 

ferias araucanias Freire ",Completo,"""2023-04-12T00:00:00.000Z""",guentrepan,"""2023-04-12T00:00:00.000Z"""
4303,feedlot,2306,46,"Novillo: 27
Vaca: 18
Vaquilla: 1",19840,46,"venta a Feria Tattersall Freire 
17 novillos americanos
4 vacas flacas
15 vacas gordas 
10 novillos gordos",Completo,"""2023-04-12T00:00:00.000Z""",guentrepan,"""2023-04-12T00:00:00.000Z"""
4301,feedlot,2305,44,Vaquilla: 44,21387,44,44 vaquillas gordas Frival,Completo,"""2023-04-11T00:00:00.000Z""",guentrepan,"""2023-04-11T00:00:00.000Z"""
4298,feedlot,2304,45,Novillo: 45,23126,45,45 novillos gordos a Frigorífico Osorno.,Completo,"""2023-04-10T00:00:00.000Z""",guentrepan,"""2023-04-10T00:00:00.000Z"""
4272,San Pedro,,46,"Novillo: 1
Ternera: 45",8589,46,"venta Fegosa S.A
venta terneras angus 46",Completo,"""2023-03-29T00:00:00.000Z""",Diego,"""2023-03-29T00:00:00.000Z"""
4271,San Pedro,2299,5,"Novillo: 3
Toro: 2",0,0,"Feria tattersal Freire..
5 toros desechos",Completo,"""2023-03-29T00:00:00.000Z""",Diego,"""2023-03-29T00:00:00.000Z"""
4270,feedlot,2299,32,"Novillo: 1
Vaca: 6
Vaquilla: 25",10375,32,venta a Feria tattersall 7 vacas desecho y 25 vaquillas,Completo,"""2023-03-29T00:00:00.000Z""",guentrepan,"""2023-03-29T00:00:00.000Z"""
4263,San Pedro,2298,58,"Ternera: 55
Ternero: 3",0,0,"Ventas de terneras 
a Soc.Agricola Mana ltda.
Rio Negro",Completo,"""2023-03-28T00:00:00.000Z""",Diego,"""2023-03-28T00:00:00.000Z"""
4252,feedlot,2297,45,Novillo: 45,24082,45,45 novillos Gordos Frigosorno ,Completo,"""2023-03-23T00:00:00.000Z""",guentrepan,"""2023-03-23T00:00:00.000Z"""
4249,feedlot,2296,45,Vaquilla: 45,22149,45,45 vaquillas a Frigosorno ,Completo,"""2023-03-22T00:00:00.000Z""",guentrepan,"""2023-03-22T00:00:00.000Z"""
4206,San Pedro,2287,37,Vaca: 37,19702,37,37 vacas secas a Frival ,Completo,"""2023-02-28T00:00:00.000Z""",guentrepan,"""2023-02-28T00:00:00.000Z"""
