row_num,fundo_u_origen,obs_raw_flat,rx_diio,rx_rut,rx_pesos_kg,rx_pesos_pv,rx_guia,rx_precio_dollar,rx_precio_texto,rx_precio_kg,rx_precio_unitario,rx_cantidad_animal,rx_fecha_dd_mm_yyyy,rx_fecha_texto,rx_patente_auto,rx_camion_prefix,rx_carro_prefix,rx_kw_compra,rx_kw_venta,rx_kw_traslado,rx_kw_tratamiento,rx_nombre_propio,rx_url,rx_porcentaje,obs_lines_joined
1340,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1341,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1342,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1343,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1344,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1345,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1346,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1347,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1348,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1349,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1350,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1351,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1352,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1353,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1354,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1355,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1356,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1357,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1358,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1359,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1360,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1361,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1362,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1363,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1364,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1365,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1366,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1367,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1368,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1369,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1370,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1371,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1372,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1373,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1374,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1375,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1376,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1377,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1378,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1379,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1380,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1381,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1382,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1383,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1384,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1385,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1386,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1387,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1388,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1389,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1390,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1391,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1392,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1393,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1394,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1395,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1396,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1397,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1398,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1399,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1400,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1401,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1402,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1403,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1404,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1405,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1406,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1407,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1408,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1409,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1410,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1411,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1412,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1413,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1414,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1415,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1416,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1417,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1418,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1419,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1420,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1421,San Pedro,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
