Diio,Fundo,Tipo ganado,Fecha nacimiento,Estado reproductivo,Estado leche,Motivo,Detalle,Fecha baja,Creado por,Fecha creado
18086418,San Pedro,Ternera,"""2019-08-28T00:00:00.000Z""",,,Muerte,mellizo débil (enteritis),"""2019-09-25T00:00:00.000Z""",guentrepan,"""2019-09-26T00:00:00.000Z"""
4263759,San Pedro,Vaca,"""2012-10-15T00:00:00.000Z""",Parida,En Leche,Muerte,hipomagnesemia,"""2019-09-22T00:00:00.000Z""",guentrepan,"""2019-09-25T00:00:00.000Z"""
4263983,San Pedro,Vaca,"""2012-10-15T00:00:00.000Z""",Parida,En Leche,Muerte,parálisis criminal ( hipomagnesemia),"""2019-09-20T00:00:00.000Z""",guentrepan,"""2019-09-22T00:00:00.000Z"""
12688270,San Pedro,Vaca,"""2016-08-30T00:00:00.000Z""",Parida,En Leche,Muerte,vieja no responde a tratamiento,"""2019-09-21T00:00:00.000Z""",guentrepan,"""2019-09-22T00:00:00.000Z"""
4263406,San Pedro,Vaca,"""2012-09-15T00:00:00.000Z""",Parida,En Leche,Muerte,parto distocico (septicemia),"""2019-09-17T00:00:00.000Z""",guentrepan,"""2019-09-22T00:00:00.000Z"""
4220969,San Pedro,Vaca,"""2010-10-15T00:00:00.000Z""",Preñada,En Leche,Muerte,Flaca PTBc,"""2019-09-17T00:00:00.000Z""",guentrepan,"""2019-09-22T00:00:00.000Z"""
16464885,San Pedro,Ternera,"""2019-07-12T00:00:00.000Z""",,,Muerte,diarrea,"""2019-09-18T00:00:00.000Z""",guentrepan,"""2019-09-22T00:00:00.000Z"""
18085949,San Pedro,Ternera,"""2019-08-03T00:00:00.000Z""",,,Muerte,coccidiosis,"""2019-09-12T00:00:00.000Z""",guentrepan,"""2019-09-16T00:00:00.000Z"""
4264073,San Pedro,Vaca,"""2012-11-15T00:00:00.000Z""",Parida,En Leche,Muerte,hipomagnesemia,"""2019-09-12T00:00:00.000Z""",guentrepan,"""2019-09-16T00:00:00.000Z"""
4264317,San Pedro,Vaca,"""2012-12-15T00:00:00.000Z""",Parida,En Leche,Muerte,hipomagnesemia,"""2019-09-11T00:00:00.000Z""",guentrepan,"""2019-09-16T00:00:00.000Z"""
18086297,San Pedro,Ternero,"""2019-08-23T00:00:00.000Z""",,,Muerte,infección intestinal,"""2019-09-09T00:00:00.000Z""",guentrepan,"""2019-09-09T00:00:00.000Z"""
18086407,San Pedro,Ternera,"""2019-08-28T00:00:00.000Z""",,,Muerte,guachero sin madre,"""2019-09-08T00:00:00.000Z""",guentrepan,"""2019-09-09T00:00:00.000Z"""
18085943,San Pedro,Ternero,"""2019-08-03T00:00:00.000Z""",,,Muerte,infección intestinal,"""2019-09-07T00:00:00.000Z""",guentrepan,"""2019-09-09T00:00:00.000Z"""
12688855,San Pedro,Vaca,"""2016-10-24T00:00:00.000Z""",Preñada,En Leche,Muerte,septicemia (exceso de líquido en utrero),"""2019-08-28T00:00:00.000Z""",guentrepan,"""2019-08-29T00:00:00.000Z"""
16464853,San Pedro,Vaca,"""2005-11-10T00:00:00.000Z""",Parida,En Leche,Muerte,vieja no responde a tratamiento,"""2019-08-23T00:00:00.000Z""",guentrepan,"""2019-08-26T00:00:00.000Z"""
4264408,San Pedro,Vaca,"""2013-01-15T00:00:00.000Z""",Parida,En Leche,Muerte,Flaca PTBc,"""2019-08-18T00:00:00.000Z""",guentrepan,"""2019-08-26T00:00:00.000Z"""
18085890,San Pedro,Ternero,"""2019-07-31T00:00:00.000Z""",,,Muerte,neumonía cronica,"""2019-08-23T00:00:00.000Z""",guentrepan,"""2019-08-26T00:00:00.000Z"""
16464907,San Pedro,Ternero,"""2019-07-14T00:00:00.000Z""",,,Muerte,jotes,"""2019-08-19T00:00:00.000Z""",guentrepan,"""2019-08-26T00:00:00.000Z"""
14462692,San Pedro,Vaca,"""2017-06-15T00:00:00.000Z""",Parida,En Leche,Muerte,caída ternero grande,"""2019-08-22T00:00:00.000Z""",guentrepan,"""2019-08-26T00:00:00.000Z"""
14534407,feedlot,Novillo,"""2018-01-31T00:00:00.000Z""",,,Muerte,Baja condición corporal,"""2019-08-01T00:00:00.000Z""",guentrepan,"""2019-08-26T00:00:00.000Z"""
16464951,San Pedro,Ternera,"""2019-07-19T00:00:00.000Z""",,,Muerte,hipermatosis,"""2019-08-13T00:00:00.000Z""",guentrepan,"""2019-08-13T00:00:00.000Z"""
