Diio,Fecha nacimiento,Tipo ganado,Raza,Fundo,Estado reproductivo,Estado leche,Observaciones,Partos,Diio Madre,Padre,Abuelo,Origen,Fecha creado
21430513,"""2021-09-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,16908111,Toro Campo,,,"""2021-11-03T00:00:00.000Z"""
21430514,"""2021-09-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,20055839,Toro Campo,,,"""2021-11-03T00:00:00.000Z"""
21430518,"""2021-09-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,25890408,Toro Campo,,,"""2021-11-03T00:00:00.000Z"""
21430523,"""2021-09-29T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Parida,En Leche,,2,21430694,Toro Campo,,,"""2021-11-02T00:00:00.000Z"""
21430527,"""2021-09-18T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,4263375,Toro Campo,,,"""2021-11-02T00:00:00.000Z"""
21430532,"""2021-09-29T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,4298565,Toro Campo,,,"""2021-11-03T00:00:00.000Z"""
21430533,"""2021-09-29T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,4299624,Toro Campo,,,"""2021-11-03T00:00:00.000Z"""
21430535,"""2021-09-22T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Vacía,En Leche,,3,10591161,Toro Campo,,,"""2021-11-03T00:00:00.000Z"""
21430539,"""2021-09-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,25836305,Toro Campo,,,"""2021-11-03T00:00:00.000Z"""
21430544,"""2021-09-01T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,21430655,Magnitud ,,,"""2021-11-03T00:00:00.000Z"""
21430551,"""2021-08-10T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,25890407,,Deacon,,"""2021-11-09T00:00:00.000Z"""
21430561,"""2021-09-09T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,18086676,,Deacon,,"""2021-11-09T00:00:00.000Z"""
21430571,"""2021-08-07T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,16464965,,Contractor,,"""2021-11-09T00:00:00.000Z"""
21430574,"""2021-09-15T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,4263520,Toro Campo,,,"""2021-09-23T00:00:00.000Z"""
21430575,"""2021-07-19T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,2,25836230,,Deacon,,"""2021-11-09T00:00:00.000Z"""
21430587,"""2011-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Vacía,En Leche,,9,,,,,"""2018-06-04T00:00:00.000Z"""
21430591,"""2022-07-11T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,2,25836388,ADDITON,Toro Campo,,"""2022-07-15T00:00:00.000Z"""
21430593,"""2022-07-11T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,2,18086903,PATRIARCH,Artisan,,"""2022-07-15T00:00:00.000Z"""
21430601,"""2019-08-21T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,4297524,Infinity,,,"""2019-08-26T00:00:00.000Z"""
21430604,"""2019-07-27T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,4,20055880,Deacon,,,"""2019-07-31T00:00:00.000Z"""
21430606,"""2018-09-18T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,4237229,Innovation,,,"""2018-09-19T00:00:00.000Z"""
21430607,"""2019-08-25T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,16464998,Toro Campo,,,"""2019-08-26T00:00:00.000Z"""
21430608,"""2015-07-01T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,7,,,,,"""2019-04-18T00:00:00.000Z"""
21430609,"""2019-08-25T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,4264717,Toro Campo,,,"""2019-08-26T00:00:00.000Z"""
21430610,"""2015-07-15T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,5,,,,Ag. Rayen Lafquen,"""2020-10-07T00:00:00.000Z"""
21430612,"""2012-03-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,12,,,,,"""2018-06-04T00:00:00.000Z"""
21430613,"""2016-09-03T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,8,,,,,"""2018-06-04T00:00:00.000Z"""
21430616,"""2013-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,10,,,,,"""2018-06-04T00:00:00.000Z"""
21430617,"""2017-08-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,7,,,,,"""2018-06-04T00:00:00.000Z"""
21430618,"""2019-08-23T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,21430616,Infinity,,,"""2019-08-26T00:00:00.000Z"""
21430619,"""2019-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Vacía,En Leche,,4,25836352,Toro Campo,,,"""2019-09-16T00:00:00.000Z"""
21430624,"""2019-08-02T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,4298637,,,,"""2019-08-05T00:00:00.000Z"""
21430627,"""2019-07-26T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,4221346,Deacon,,,"""2019-07-31T00:00:00.000Z"""
21430628,"""2019-07-26T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,10591038,Deacon,,,"""2019-08-12T00:00:00.000Z"""
21430630,"""2019-08-17T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,4237497,Toro Campo,,,"""2019-08-20T00:00:00.000Z"""
21430633,"""2019-07-24T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,4,20055843,NNN,,,"""2019-07-25T00:00:00.000Z"""
21430634,"""2015-07-01T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,7,,,,,"""2019-04-18T00:00:00.000Z"""
21430635,"""2017-07-15T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,5,,,,Ag. Rayen Lafquen,"""2020-10-07T00:00:00.000Z"""
21430636,"""2018-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,6,10590988,Toro Campo,,,"""2018-09-19T00:00:00.000Z"""
21430639,"""2019-09-16T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,4263667,Toro Campo,,,"""2019-09-17T00:00:00.000Z"""
21430648,"""2017-09-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Parida,En Leche,,6,,,,,"""2018-06-04T00:00:00.000Z"""
21430650,"""2013-07-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,9,,,,,"""2018-06-04T00:00:00.000Z"""
21430653,"""2016-10-15T00:00:00.000Z""",Toro,Angus,San Pedro,,,,,,,,,"""2018-06-04T00:00:00.000Z"""
21430655,"""2017-08-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,7,,,,,"""2018-06-04T00:00:00.000Z"""
21430657,"""2013-12-15T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,10,,,,,"""2018-06-04T00:00:00.000Z"""
21430660,"""2019-07-22T00:00:00.000Z""",Vaca,Angus,San Pedro,Preñada,En Leche,,5,25836186,Deacon,,,"""2019-07-23T00:00:00.000Z"""
